T_inst E_tot P Z
0.160878 -6.36592 -4.71374 -34.4708
0.160918 -6.36729 -4.72116 -34.5163
0.160936 -6.3685 -4.72837 -34.5652
0.16093 -6.37 -4.73603 -34.6225
0.160904 -6.371 -4.74272 -34.677
0.160861 -6.37251 -4.75005 -34.7398
0.160804 -6.3738 -4.75675 -34.8012
0.160736 -6.37495 -4.76286 -34.8608
0.160662 -6.37607 -4.76857 -34.9186
0.160586 -6.3771 -4.77374 -34.973
0.160509 -6.37803 -4.77836 -35.0236
0.160433 -6.37866 -4.78206 -35.0674
0.160361 -6.37937 -4.78551 -35.1084
0.160293 -6.37974 -4.78801 -35.1416
0.16522 -6.37259 -4.78579 -34.0777
0.165135 -6.37282 -4.78709 -34.1047
0.165054 -6.37295 -4.78772 -34.1258
0.16498 -6.37288 -4.78754 -34.14
0.164908 -6.3726 -4.78656 -34.1477
0.164841 -6.37252 -4.78546 -34.1539
0.164775 -6.37221 -4.78353 -34.1537
