Time nR nF
8.43 125.767 2.78154
8.44 126.258 2.76988
8.45 126.75 2.75832
8.46 127.245 2.74685
8.47 127.742 2.73548
8.48 128.24 2.72421
8.49 128.741 2.71303
8.5 129.244 2.70195
8.51 129.749 2.69096
8.52 130.255 2.68006
8.53 130.764 2.66926
8.54 131.275 2.65855
8.55 131.788 2.64793
8.56 132.303 2.63741
8.57 132.82 2.62697
8.58 133.339 2.61663
8.59 133.86 2.60637
8.6 134.383 2.5962
8.61 134.908 2.58613
8.62 135.436 2.57614
8.63 135.965 2.56623
8.64 136.497 2.55642
8.65 137.031 2.54669
8.66 137.567 2.53704
8.67 138.105 2.52749
8.68 138.645 2.51801
8.69 139.188 2.50862
8.7 139.732 2.49932
8.71 140.279 2.49009
8.72 140.828 2.48095
8.73 141.379 2.4719
8.74 141.933 2.46292
8.75 142.488 2.45403
8.76 143.046 2.44521
8.77 143.606 2.43648
8.78 144.168 2.42783
8.79 144.733 2.41925
8.8 145.3 2.41076
8.81 145.869 2.40234
8.82 146.44 2.39401
8.83 147.014 2.38575
8.84 147.59 2.37756
8.85 148.168 2.36946
8.86 148.749 2.36143
8.87 149.332 2.35347
8.88 149.917 2.3456
8.89 150.504 2.33779
8.9 151.094 2.33007
8.91 151.687 2.32241
8.92 152.281 2.31483
8.93 152.878 2.30733
8.94 153.478 2.29989
8.95 154.08 2.29253
8.96 154.684 2.28525
8.97 155.29 2.27803
8.98 155.899 2.27089
8.99 156.511 2.26381
9 157.125 2.25681
9.01 157.741 2.24988
9.02 158.36 2.24302
9.03 158.981 2.23623
9.04 159.605 2.22951
9.05 160.232 2.22286
9.06 160.86 2.21628
9.07 161.492 2.20976
9.08 162.125 2.20332
9.09 162.762 2.19694
9.1 163.401 2.19063
9.11 164.042 2.18439
9.12 164.686 2.17821
9.13 165.333 2.1721
9.14 165.982 2.16606
9.15 166.634 2.16009
9.16 167.288 2.15418
9.17 167.945 2.14833
9.18 168.604 2.14255
9.19 169.267 2.13684
9.2 169.931 2.13119
9.21 170.599 2.12561
9.22 171.269 2.12009
9.23 171.942 2.11463
9.24 172.617 2.10924
9.25 173.296 2.10391
9.26 173.976 2.09865
9.27 174.66 2.09344
9.28 175.346 2.0883
9.29 176.036 2.08323
9.3 176.727 2.07821
9.31 177.422 2.07326
9.32 178.119 2.06837
9.33 178.819 2.06354
9.34 179.522 2.05878
9.35 180.228 2.05407
9.36 180.936 2.04943
9.37 181.648 2.04485
9.38 182.362 2.04032
9.39 183.079 2.03586
9.4 183.799 2.03146
9.41 184.521 2.02712
9.42 185.247 2.02284
9.43 185.976 2.01862
9.44 186.707 2.01446
9.45 187.441 2.01036
9.46 188.178 2.00632
