Time N1 N2 N3
21.9 51.2474 4.38621 21.0636
21.95 51.364 4.44352 21.0513
22 51.4631 4.50305 21.0402
22.05 51.5444 4.56466 21.0304
22.1 51.6079 4.62815 21.0219
22.15 51.6533 4.69335 21.0148
22.2 51.6809 4.76005 21.009
22.25 51.6905 4.82805 21.0047
22.3 51.6824 4.89712 21.0018
22.35 51.6568 4.96702 21.0004
22.4 51.614 5.0375 21.0004
22.45 51.5543 5.10831 21.002
22.5 51.4782 5.17918 21.005
22.55 51.3861 5.24982 21.0095
22.6 51.2788 5.31996 21.0155
22.65 51.1567 5.38931 21.0229
22.7 51.0207 5.45759 21.0318
22.75 50.8715 5.52448 21.0422
22.8 50.7098 5.58972 21.0539
22.85 50.5367 5.65301 21.067
22.9 50.353 5.71407 21.0814
22.95 50.1597 5.77264 21.0971
23 49.9578 5.82845 21.114
23.05 49.7483 5.88125 21.1321
23.1 49.5323 5.93083 21.1512
23.15 49.3108 5.97696 21.1714
23.2 49.0849 6.01947 21.1926
23.25 48.8556 6.05817 21.2146
23.3 48.6241 6.09292 21.2374
23.35 48.3915 6.12361 21.261
23.4 48.1586 6.15013 21.2852
23.45 47.9266 6.17243 21.3099
23.5 47.6964 6.19045 21.3351
23.55 47.469 6.20419 21.3607
23.6 47.2452 6.21365 21.3865
23.65 47.026 6.21888 21.4126
23.7 46.8121 6.21992 21.4387
23.75 46.6044 6.21688 21.4648
23.8 46.4035 6.20985 21.4909
23.85 46.2101 6.19897 21.5168
23.9 46.0248 6.18438 21.5425
23.95 45.8481 6.16624 21.5678
24 45.6806 6.14474 21.5928
24.05 45.5226 6.12007 21.6172
24.1 45.3746 6.09243 21.6412
24.15 45.2369 6.06203 21.6645
24.2 45.1098 6.02909 21.6872
24.25 44.9934 5.99384 21.7091
24.3 44.8879 5.9565 21.7303
24.35 44.7935 5.9173 21.7507
24.4 44.7103 5.87646 21.7702
24.45 44.6382 5.83421 21.7888
24.5 44.5772 5.79078 21.8065
24.55 44.5274 5.74639 21.8233
24.6 44.4885 5.70123 21.8391
24.65 44.4605 5.65553 21.8539
24.7 44.4433 5.60947 21.8678
24.75 44.4366 5.56325 21.8806
24.8 44.4401 5.51705 21.8924
24.85 44.4538 5.47104 21.9032
24.9 44.4772 5.42539 21.913
24.95 44.5101 5.38025 21.9219
25 44.5522 5.33576 21.9297
25.05 44.6031 5.29206 21.9366
25.1 44.6625 5.24927 21.9425
25.15 44.73 5.20752 21.9475
25.2 44.8053 5.1669 21.9516
25.25 44.8879 5.12751 21.9549
25.3 44.9774 5.08945 21.9573
25.35 45.0734 5.0528 21.9588
25.4 45.1755 5.01762 21.9596
25.45 45.2833 4.98398 21.9596
25.5 45.3962 4.95195 21.9589
25.55 45.5139 4.92157 21.9575
25.6 45.6359 4.89288 21.9555
25.65 45.7618 4.86592 21.9528
25.7 45.8911 4.84073 21.9496
25.75 46.0233 4.81733 21.9458
25.8 46.158 4.79573 21.9416
25.85 46.2948 4.77596 21.9369
25.9 46.4331 4.75803 21.9318
25.95 46.5726 4.74193 21.9263
26 46.7128 4.72768 21.9205
26.05 46.8532 4.71527 21.9144
26.1 46.9935 4.70468 21.908
26.15 47.1332 4.69591 21.9014
26.2 47.2718 4.68895 21.8947
26.25 47.409 4.68377 21.8878
26.3 47.5444 4.68036 21.8809
26.35 47.6776 4.67868 21.8738
26.4 47.8082 4.67871 21.8668
26.45 47.9359 4.68041 21.8598
26.5 48.0603 4.68375 21.8529
26.55 48.181 4.6887 21.846
26.6 48.2978 4.6952 21.8393
26.65 48.4103 4.70322 21.8327
26.7 48.5183 4.71271 21.8263
26.75 48.6215 4.7236 21.8202
26.8 48.7197 4.73586 21.8143
26.85 48.8125 4.74942 21.8087
26.9 48.8999 4.76422 21.8033
26.95 48.9815 4.7802 21.7984
27 49.0574 4.7973 21.7938
27.05 49.1272 4.81544 21.7896
27.1 49.1909 4.83455 21.7857
27.15 49.2483 4.85456 21.7823
27.2 49.2995 4.87539 21.7794
27.25 49.3443 4.89696 21.7769
27.3 49.3827 4.9192 21.7749
27.35 49.4147 4.94201 21.7734
27.4 49.4403 4.96532 21.7724
27.45 49.4595 4.98904 21.7719
27.5 49.4724 5.01308 21.7719
27.55 49.4792 5.03735 21.7725
27.6 49.4798 5.06177 21.7736
27.65 49.4744 5.08624 21.7752
27.7 49.4632 5.11067 21.7773
27.75 49.4463 5.13498 21.78
27.8 49.4239 5.15907 21.7832
27.85 49.3962 5.18286 21.7869
27.9 49.3634 5.20627 21.7912
27.95 49.3259 5.2292 21.7959
28 49.2837 5.25158 21.8011
28.05 49.2373 5.27333 21.8069
28.1 49.1868 5.29436 21.8131
28.15 49.1326 5.31462 21.8197
28.2 49.0749 5.33402 21.8268
28.25 49.0142 5.3525 21.8343
28.3 48.9506 5.37001 21.8422
28.35 48.8845 5.38649 21.8504
28.4 48.8163 5.40187 21.859
28.45 48.7462 5.41613 21.868
28.5 48.6747 5.42922 21.8772
28.55 48.6019 5.4411 21.8868
28.6 48.5283 5.45175 21.8965
28.65 48.4542 5.46114 21.9065
28.7 48.3799 5.46925 21.9167
28.75 48.3057 5.47608 21.9271
28.8 48.2319 5.48161 21.9376
28.85 48.1588 5.48585 21.9482
28.9 48.0867 5.48881 21.9589
28.95 48.0158 5.49049 21.9697
29 47.9465 5.49092 21.9805
29.05 47.879 5.4901 21.9912
29.1 47.8135 5.48808 22.002
29.15 47.7502 5.48489 22.0127
29.2 47.6894 5.48055 22.0233
29.25 47.6313 5.47511 22.0339
29.3 47.576 5.46862 22.0443
29.35 47.5237 5.46111 22.0545
29.4 47.4746 5.45265 22.0646
29.45 47.4288 5.44329 22.0745
29.5 47.3864 5.43307 22.0842
29.55 47.3474 5.42206 22.0936
29.6 47.3121 5.41032 22.1028
29.65 47.2805 5.39791 22.1118
29.7 47.2526 5.38489 22.1204
29.75 47.2285 5.37132 22.1288
29.8 47.2081 5.35727 22.1368
29.85 47.1916 5.3428 22.1446
29.9 47.1789 5.32797 22.152
29.95 47.17 5.31285 22.1591
30 47.1648 5.29749 22.1659
30.05 47.1634 5.28196 22.1723
30.1 47.1656 5.26631 22.1784
30.15 47.1714 5.25061 22.1841
30.2 47.1808 5.23491 22.1895
30.25 47.1936 5.21927 22.1945
30.3 47.2097 5.20373 22.1992
30.35 47.2291 5.18835 22.2036
30.4 47.2516 5.17318 22.2076
30.45 47.2771 5.15827 22.2113
30.5 47.3054 5.14365 22.2146
30.55 47.3365 5.12938 22.2177
30.6 47.3702 5.11549 22.2204
30.65 47.4063 5.10201 22.2228
30.7 47.4448 5.08898 22.2249
30.75 47.4853 5.07644 22.2268
30.8 47.5278 5.06442 22.2283
30.85 47.5721 5.05293 22.2296
30.9 47.6181 5.04201 22.2307
30.95 47.6655 5.03168 22.2315
31 47.7142 5.02195 22.2321
31.05 47.764 5.01285 22.2325
31.1 47.8148 5.00439 22.2327
31.15 47.8664 4.99658 22.2327
31.2 47.9185 4.98943 22.2325
31.25 47.9711 4.98295 22.2322
31.3 48.024 4.97714 22.2318
31.35 48.0769 4.97201 22.2312
31.4 48.1298 4.96755 22.2305
31.45 48.1825 4.96378 22.2298
31.5 48.2348 4.96068 22.2289
31.55 48.2866 4.95824 22.228
31.6 48.3376 4.95647 22.2271
31.65 48.3879 4.95535 22.2261
31.7 48.4372 4.95488 22.2251
31.75 48.4854 4.95503 22.2241
31.8 48.5324 4.95579 22.2231
31.85 48.5781 4.95716 22.2221
31.9 48.6223 4.9591 22.2212
31.95 48.6649 4.96161 22.2203
32 48.7059 4.96466 22.2195
32.05 48.7451 4.96823 22.2188
32.1 48.7825 4.97229 22.2181
32.15 48.818 4.97683 22.2175
32.2 48.8515 4.98181 22.2171
32.25 48.883 4.98722 22.2167
32.3 48.9123 4.99301 22.2165
32.35 48.9396 4.99917 22.2164
32.4 48.9646 5.00567 22.2165
32.45 48.9875 5.01247 22.2167
32.5 49.0081 5.01955 22.217
32.55 49.0265 5.02687 22.2175
32.6 49.0427 5.0344 22.2182
32.65 49.0566 5.04212 22.2191
32.7 49.0683 5.04998 22.2201
32.75 49.0778 5.05797 22.2213
32.8 49.0851 5.06604 22.2227
32.85 49.0903 5.07416 22.2242
32.9 49.0934 5.08231 22.226
32.95 49.0944 5.09045 22.2279
33 49.0935 5.09856 22.23
33.05 49.0906 5.10659 22.2323
33.1 49.0858 5.11453 22.2347
33.15 49.0792 5.12234 22.2374
33.2 49.071 5.13 22.2402
33.25 49.0611 5.13748 22.2431
33.3 49.0496 5.14476 22.2463
33.35 49.0367 5.15181 22.2496
33.4 49.0224 5.1586 22.253
33.45 49.0069 5.16512 22.2566
33.5 48.9902 5.17134 22.2604
33.55 48.9725 5.17725 22.2643
33.6 48.9538 5.18283 22.2683
33.65 48.9342 5.18806 22.2724
33.7 48.9139 5.19292 22.2766
33.75 48.893 5.19742 22.281
33.8 48.8716 5.20152 22.2854
33.85 48.8497 5.20523 22.29
33.9 48.8275 5.20854 22.2946
33.95 48.8052 5.21144 22.2993
34 48.7827 5.21393 22.304
34.05 48.7602 5.21599 22.3088
34.1 48.7379 5.21764 22.3136
34.15 48.7157 5.21888 22.3185
34.2 48.6938 5.2197 22.3234
34.25 48.6724 5.22011 22.3283
34.3 48.6514 5.22011 22.3332
34.35 48.6309 5.21971 22.3382
34.4 48.6111 5.21893 22.3431
34.45 48.592 5.21776 22.3479
34.5 48.5737 5.21622 22.3528
34.55 48.5563 5.21433 22.3576
34.6 48.5398 5.21208 22.3624
34.65 48.5243 5.20951 22.3671
34.7 48.5097 5.20662 22.3717
34.75 48.4963 5.20343 22.3763
34.8 48.484 5.19996 22.3808
34.85 48.4729 5.19622 22.3853
34.9 48.4629 5.19223 22.3896
34.95 48.4542 5.18801 22.3939
35 48.4468 5.18359 22.398
35.05 48.4405 5.17897 22.4021
35.1 48.4356 5.17418 22.4061
35.15 48.432 5.16923 22.4099
35.2 48.4296 5.16416 22.4136
35.25 48.4285 5.15897 22.4173
35.3 48.4287 5.15369 22.4208
35.35 48.4302 5.14834 22.4242
35.4 48.4329 5.14293 22.4274
35.45 48.4368 5.13749 22.4306
35.5 48.442 5.13204 22.4336
35.55 48.4483 5.12659 22.4365
35.6 48.4558 5.12116 22.4393
35.65 48.4644 5.11577 22.4419
35.7 48.4741 5.11044 22.4445
