Time nR nF
8.33 188.818 5.04887
8.34 189.537 5.04164
8.35 190.258 5.03457
8.36 190.982 5.02765
8.37 191.709 5.02089
8.38 192.439 5.01428
8.39 193.172 5.00782
8.4 193.907 5.00153
8.41 194.645 4.99538
8.42 195.386 4.9894
8.43 196.13 4.98356
8.44 196.877 4.97789
8.45 197.627 4.97236
8.46 198.38 4.967
8.47 199.135 4.96179
8.48 199.894 4.95673
8.49 200.655 4.95183
8.5 201.419 4.94709
8.51 202.187 4.9425
8.52 202.957 4.93807
8.53 203.73 4.93379
8.54 204.506 4.92967
8.55 205.286 4.92571
8.56 206.068 4.9219
8.57 206.853 4.91825
8.58 207.641 4.91476
8.59 208.432 4.91143
8.6 209.227 4.90825
8.61 210.024 4.90523
8.62 210.825 4.90238
8.63 211.628 4.89968
8.64 212.435 4.89713
8.65 213.244 4.89475
8.66 214.057 4.89253
8.67 214.873 4.89047
8.68 215.692 4.88857
8.69 216.514 4.88683
8.7 217.339 4.88525
8.71 218.168 4.88384
8.72 219 4.88258
8.73 219.834 4.88149
8.74 220.672 4.88057
8.75 221.514 4.8798
8.76 222.358 4.8792
8.77 223.206 4.87877
8.78 224.057 4.8785
8.79 224.911 4.8784
8.8 225.768 4.87847
8.81 226.629 4.8787
8.82 227.493 4.87911
8.83 228.36 4.87968
8.84 229.23 4.88042
8.85 230.104 4.88133
8.86 230.981 4.88241
8.87 231.862 4.88367
8.88 232.746 4.88509
8.89 233.633 4.88669
8.9 234.523 4.88847
8.91 235.417 4.89042
8.92 236.315 4.89254
8.93 237.215 4.89485
8.94 238.12 4.89733
8.95 239.027 4.89999
8.96 239.938 4.90283
8.97 240.852 4.90585
8.98 241.77 4.90905
8.99 242.692 4.91243
9 243.616 4.916
9.01 244.545 4.91975
9.02 245.477 4.92369
9.03 246.412 4.92782
9.04 247.351 4.93214
9.05 248.293 4.93664
9.06 249.239 4.94134
9.07 250.189 4.94622
9.08 251.142 4.9513
9.09 252.098 4.95658
9.1 253.058 4.96205
9.11 254.022 4.96772
9.12 254.99 4.97358
9.13 255.961 4.97965
9.14 256.935 4.98592
9.15 257.914 4.99239
9.16 258.896 4.99906
9.17 259.881 5.00594
9.18 260.871 5.01303
9.19 261.864 5.02033
9.2 262.86 5.02784
9.21 263.861 5.03556
9.22 264.865 5.04349
9.23 265.873 5.05164
9.24 266.885 5.06001
9.25 267.9 5.0686
9.26 268.919 5.07741
9.27 269.942 5.08644
9.28 270.969 5.0957
9.29 271.999 5.10518
9.3 273.034 5.11489
9.31 274.072 5.12484
9.32 275.114 5.13501
9.33 276.16 5.14542
9.34 277.21 5.15607
9.35 278.263 5.16696
9.36 279.321 5.17809
9.37 280.382 5.18946
9.38 281.447 5.20108
9.39 282.516 5.21295
9.4 283.59 5.22507
9.41 284.667 5.23744
9.42 285.748 5.25007
9.43 286.833 5.26296
9.44 287.922 5.27611
9.45 289.014 5.28952
9.46 290.111 5.30319
9.47 291.212 5.31714
9.48 292.317 5.33136
9.49 293.426 5.34585
9.5 294.539 5.36062
9.51 295.656 5.37568
9.52 296.777 5.39101
9.53 297.902 5.40663
9.54 299.032 5.42255
9.55 300.165 5.43875
9.56 301.302 5.45525
9.57 302.444 5.47205
9.58 303.589 5.48915
9.59 304.739 5.50656
9.6 305.893 5.52428
9.61 307.051 5.54231
9.62 308.213 5.56066
9.63 309.38 5.57933
9.64 310.55 5.59833
9.65 311.725 5.61765
9.66 312.904 5.6373
9.67 314.087 5.65729
9.68 315.275 5.67762
9.69 316.466 5.6983
9.7 317.662 5.71932
9.71 318.862 5.7407
9.72 320.067 5.76243
9.73 321.275 5.78452
9.74 322.488 5.80698
9.75 323.705 5.82982
9.76 324.927 5.85302
9.77 326.153 5.87661
9.78 327.383 5.90058
9.79 328.617 5.92494
9.8 329.856 5.94969
9.81 331.099 5.97485
9.82 332.346 6.00041
9.83 333.598 6.02638
9.84 334.854 6.05277
9.85 336.115 6.07958
9.86 337.38 6.10681
9.87 338.649 6.13448
9.88 339.923 6.16259
9.89 341.201 6.19114
9.9 342.483 6.22014
9.91 343.77 6.2496
9.92 345.062 6.27953
9.93 346.357 6.30992
9.94 347.658 6.34079
9.95 348.962 6.37214
9.96 350.271 6.40398
9.97 351.585 6.43632
9.98 352.903 6.46917
9.99 354.226 6.50252
10 355.553 6.53639
10.01 356.884 6.57079
10.02 358.22 6.60572
10.03 359.561 6.64119
10.04 360.906 6.67721
10.05 362.255 6.71379
10.06 363.609 6.75094
10.07 364.968 6.78866
10.08 366.331 6.82696
10.09 367.698 6.86585
10.1 369.07 6.90534
10.11 370.447 6.94544
10.12 371.828 6.98616
10.13 373.214 7.0275
10.14 374.604 7.06949
10.15 375.999 7.11212
10.16 377.398 7.1554
10.17 378.802 7.19936
10.18 380.21 7.24399
10.19 381.623 7.28931
10.2 383.041 7.33533
10.21 384.463 7.38205
10.22 385.889 7.4295
10.23 387.32 7.47768
10.24 388.756 7.52661
10.25 390.196 7.57629
10.26 391.641 7.62674
10.27 393.091 7.67797
10.28 394.544 7.72999
10.29 396.003 7.78282
10.3 397.466 7.83647
10.31 398.933 7.89094
10.32 400.406 7.94627
10.33 401.882 8.00245
10.34 403.363 8.05951
10.35 404.849 8.11746
10.36 406.339 8.17631
10.37 407.834 8.23608
10.38 409.333 8.29678
10.39 410.837 8.35844
10.4 412.345 8.42105
10.41 413.858 8.48465
10.42 415.375 8.54925
10.43 416.897 8.61486
10.44 418.423 8.68151
10.45 419.954 8.74921
10.46 421.489 8.81797
10.47 423.028 8.88782
10.48 424.572 8.95878
10.49 426.12 9.03086
10.5 427.673 9.10409
10.51 429.23 9.17848
10.52 430.792 9.25406
10.53 432.358 9.33084
10.54 433.928 9.40885
10.55 435.502 9.48811
10.56 437.081 9.56864
10.57 438.665 9.65047
10.58 440.252 9.73361
10.59 441.844 9.81809
10.6 443.44 9.90393
10.61 445.04 9.99117
10.62 446.644 10.0798
