Time nR nF
6.58 50.5045 6.29379
6.59 50.6814 6.25004
6.6 50.8589 6.20663
6.61 51.0371 6.16357
6.62 51.216 6.12085
6.63 51.3956 6.07847
6.64 51.5758 6.03643
6.65 51.7567 5.99472
6.66 51.9382 5.95334
6.67 52.1205 5.9123
6.68 52.3034 5.87157
6.69 52.487 5.83118
6.7 52.6712 5.7911
6.71 52.8562 5.75134
6.72 53.0418 5.71189
6.73 53.2281 5.67276
6.74 53.4152 5.63394
6.75 53.6029 5.59542
6.76 53.7913 5.55721
6.77 53.9803 5.51931
6.78 54.1701 5.4817
6.79 54.3606 5.44439
6.8 54.5518 5.40738
6.81 54.7437 5.37066
6.82 54.9362 5.33423
6.83 55.1295 5.29808
6.84 55.3235 5.26223
6.85 55.5182 5.22665
6.86 55.7136 5.19136
6.87 55.9098 5.15634
6.88 56.1066 5.12161
6.89 56.3041 5.08714
6.9 56.5024 5.05295
6.91 56.7014 5.01903
6.92 56.9011 4.98538
6.93 57.1015 4.95199
6.94 57.3027 4.91886
6.95 57.5046 4.886
6.96 57.7072 4.85339
6.97 57.9105 4.82104
6.98 58.1146 4.78894
6.99 58.3194 4.7571
7 58.5249 4.72551
7.01 58.7312 4.69417
7.02 58.9382 4.66307
7.03 59.146 4.63222
7.04 59.3545 4.60161
7.05 59.5638 4.57124
7.06 59.7738 4.54111
7.07 59.9845 4.51121
7.08 60.196 4.48155
7.09 60.4083 4.45213
7.1 60.6213 4.42293
7.11 60.835 4.39396
7.12 61.0496 4.36522
7.13 61.2648 4.33671
7.14 61.4809 4.30842
7.15 61.6977 4.28035
7.16 61.9153 4.2525
7.17 62.1336 4.22486
7.18 62.3527 4.19745
7.19 62.5726 4.17025
7.2 62.7933 4.14326
7.21 63.0147 4.11648
7.22 63.2369 4.08991
7.23 63.4599 4.06355
7.24 63.6837 4.0374
7.25 63.9083 4.01145
7.26 64.1336 3.9857
7.27 64.3598 3.96016
7.28 64.5867 3.93481
7.29 64.8144 3.90966
7.3 65.0429 3.88471
7.31 65.2723 3.85995
7.32 65.5024 3.83538
7.33 65.7333 3.81101
7.34 65.965 3.78682
7.35 66.1975 3.76283
7.36 66.4308 3.73902
7.37 66.6649 3.7154
7.38 66.8999 3.69196
7.39 67.1356 3.6687
7.4 67.3722 3.64562
7.41 67.6096 3.62273
7.42 67.8478 3.60001
7.43 68.0868 3.57747
7.44 68.3266 3.5551
7.45 68.5673 3.53291
7.46 68.8088 3.51089
7.47 69.0511 3.48904
7.48 69.2942 3.46736
