Time nR nF
10.59 522.309 567.94
10.6 521.438 565.797
10.61 520.58 563.657
10.62 519.734 561.52
10.63 518.901 559.386
10.64 518.08 557.256
10.65 517.271 555.129
10.66 516.475 553.007
10.67 515.691 550.888
10.68 514.919 548.773
10.69 514.159 546.661
10.7 513.411 544.554
10.71 512.674 542.451
10.72 511.95 540.352
10.73 511.237 538.257
10.74 510.536 536.167
10.75 509.847 534.081
10.76 509.169 531.999
10.77 508.503 529.923
10.78 507.848 527.85
10.79 507.204 525.783
10.8 506.572 523.72
10.81 505.951 521.662
10.82 505.341 519.609
10.83 504.742 517.56
10.84 504.154 515.517
10.85 503.577 513.479
10.86 503.011 511.446
10.87 502.456 509.418
10.88 501.911 507.396
10.89 501.378 505.379
10.9 500.855 503.367
10.91 500.342 501.36
10.92 499.84 499.359
10.93 499.349 497.364
10.94 498.868 495.374
10.95 498.397 493.39
10.96 497.937 491.411
10.97 497.487 489.438
10.98 497.047 487.471
10.99 496.617 485.51
11 496.198 483.554
11.01 495.788 481.604
11.02 495.389 479.661
11.03 494.999 477.723
11.04 494.619 475.791
11.05 494.249 473.865
11.06 493.889 471.946
11.07 493.538 470.032
11.08 493.198 468.125
11.09 492.866 466.223
11.1 492.545 464.328
11.11 492.233 462.44
11.12 491.93 460.557
11.13 491.637 458.681
11.14 491.353 456.811
11.15 491.079 454.947
11.16 490.813 453.09
11.17 490.557 451.239
11.18 490.311 449.395
11.19 490.073 447.557
11.2 489.845 445.726
11.21 489.625 443.901
11.22 489.415 442.082
11.23 489.213 440.271
11.24 489.021 438.465
11.25 488.837 436.667
11.26 488.662 434.874
11.27 488.496 433.089
11.28 488.339 431.31
11.29 488.19 429.538
11.3 488.05 427.772
11.31 487.919 426.013
